 CALCULATION WITH NEFF7 (VAX VERSION).

 EFFICIENCY OF THE DETECTOR IN
 THE ENERGY RANGE    EMIN             0. KEV
                     EMAX         20000. KEV
 ENERGY BIN WIDTH                    50. KEV

 NE 213 SCINTILLATOR
           DENSITY                0.8790 G/CM**3
           NH/NC                  1.2800
 LIGHT PIPE
           DENSITY                1.1800 G/CM**3
           NH/NC                  1.1000

 RADIUS OF THE SCINTILLATORS        4.28 CM
 HEIGHT   OF THE SCINTILLATOR         4.92 CM
 RADIUS OF THE HOUSING              4.44 CM
 HEIGHT OF THE HOUSING              5.08 CM

 LENGTH OF THE LIGHT PIPE           0.00 CM
 12800. -12850.    0.12522 0.13693 0.14560 0.16100
 12850. -12900.    0.12270 0.13493 0.14376 0.15768
 12900. -12950.    0.12535 0.13761 0.14732 0.16167
 12950. -13000.    0.12292 0.13495 0.14404 0.15860
 13000. -13050.    0.12250 0.13416 0.14331 0.15849
 13050. -13100.    0.12383 0.13527 0.14485 0.15865
 13100. -13150.    0.12415 0.13623 0.14516 0.15944
 13150. -13200.    0.12385 0.13545 0.14491 0.15851
 13200. -13250.    0.12247 0.13414 0.14316 0.15720
 13250. -13300.    0.12311 0.13477 0.14366 0.15800
 13300. -13350.    0.11987 0.13206 0.14167 0.15529
 13350. -13400.    0.12409 0.13645 0.14557 0.16080
 13400. -13450.    0.12192 0.13419 0.14327 0.15739
 13450. -13500.    0.12189 0.13419 0.14402 0.15857
 13500. -13550.    0.11846 0.13043 0.13942 0.15438
 13550. -13600.    0.11988 0.13263 0.14174 0.15648
 13600. -13650.    0.11973 0.13167 0.14120 0.15601
 13650. -13700.    0.12138 0.13293 0.14254 0.15648
 13700. -13750.    0.11780 0.13003 0.13987 0.15510
 13750. -13800.    0.11817 0.12937 0.13881 0.15291
 13800. -13850.    0.11758 0.12913 0.13884 0.15408
 13850. -13900.    0.11903 0.13091 0.14141 0.15733
 13900. -13950.    0.11772 0.12997 0.13944 0.15445
 13950. -14000.    0.11690 0.12935 0.13895 0.15502
 14000. -14050.    0.11811 0.13046 0.14003 0.15722
 14050. -14100.    0.11764 0.13008 0.13993 0.15676
 14100. -14150.    0.11840 0.13203 0.14168 0.15782
 14150. -14200.    0.11769 0.13113 0.14108 0.15824
 14200. -14250.    0.11609 0.12923 0.13883 0.15543
 14250. -14300.    0.11716 0.13097 0.14111 0.15726
 14300. -14350.    0.11713 0.13212 0.14262 0.15807
 14350. -14400.    0.11556 0.13015 0.14030 0.15656
 14400. -14450.    0.11512 0.13089 0.14160 0.15835
 14450. -14500.    0.11287 0.12816 0.13875 0.15566
 14500. -14550.    0.11528 0.13215 0.14294 0.15865
 14550. -14600.    0.11442 0.13042 0.14205 0.15958
 14600. -14650.    0.11294 0.12849 0.13868 0.15520
 14650. -14700.    0.11572 0.13212 0.14210 0.15908
 14700. -14750.    0.11529 0.13044 0.14118 0.15760
 14750. -14800.    0.11362 0.12955 0.14029 0.15776
 14800. -14850.    0.11409 0.12953 0.14003 0.15730
 14850. -14900.    0.11356 0.12961 0.14047 0.15897
 14900. -14950.    0.11219 0.12857 0.14031 0.15847
 14950. -15000.    0.11164 0.12736 0.13843 0.15615
 15000. -15050.    0.11200 0.12839 0.14002 0.15900
 15050. -15100.    0.11334 0.12894 0.14064 0.16087
 15100. -15150.    0.11268 0.12818 0.14024 0.15949
 15150. -15200.    0.11227 0.12772 0.14039 0.16133
 15200. -15250.    0.11133 0.12664 0.13907 0.16007
 15250. -15300.    0.11321 0.12887 0.14082 0.16150
 15300. -15350.    0.11089 0.12632 0.13904 0.15942
 15350. -15400.    0.11188 0.12699 0.13924 0.16058
 15400. -15450.    0.11122 0.12594 0.13843 0.15922
 15450. -15500.    0.11193 0.12708 0.13958 0.16094
 15500. -15550.    0.11013 0.12468 0.13823 0.15990
 15550. -15600.    0.11091 0.12766 0.14080 0.16292
 15600. -15650.    0.11102 0.12698 0.13983 0.16215
 15650. -15700.    0.10911 0.12406 0.13786 0.16008
 15700. -15750.    0.10702 0.12218 0.13512 0.15804
 15750. -15800.    0.11161 0.12635 0.13933 0.16128
 15800. -15850.    0.10939 0.12506 0.13820 0.16188
 15850. -15900.    0.11054 0.12646 0.14023 0.16363
 15900. -15950.    0.10860 0.12523 0.13869 0.16182
 15950. -16000.    0.10821 0.12351 0.13796 0.16157
 16000. -16050.    0.10823 0.12364 0.13775 0.16150
 16050. -16100.    0.10839 0.12414 0.13897 0.16278
 16100. -16150.    0.10941 0.12563 0.14118 0.16420
 16150. -16200.    0.10929 0.12584 0.14063 0.16353
 16200. -16250.    0.10655 0.12229 0.13793 0.16287
 16250. -16300.    0.10849 0.12517 0.13954 0.16254
 16300. -16350.    0.10570 0.12228 0.13729 0.16111
 16350. -16400.    0.10942 0.12544 0.14039 0.16294
